0,0.00532,0.00447,0.01174,440.50699,295.73139,9564.82831,214.503,5.66E-08,1.14E-07,3.63E-19,9.90E-11,2.10E-21,3.48E-11
0.08,0.09398,0.00531,0.01422,717.50442,515.93886,9540.04169,213.87439,5.67E-08,1.14E-07,7.33E-15,9.90E-11,3.10E-16,3.48E-11
0.16,0.18263,0.00594,0.01668,880.38859,2163.54409,9515.45882,213.25096,5.69E-08,1.14E-07,1.32E-13,9.90E-11,1.00E-14,3.48E-11
0.24,0.27126,0.00667,0.02003,1015.62879,61608.39446,9491.07663,212.63265,5.70E-08,1.14E-07,7.14E-13,9.90E-11,7.64E-14,3.48E-11
0.32,0.35988,0.0076,0.02452,1136.99768,3747.28997,9466.89209,212.0194,5.72E-08,1.14E-07,2.28E-12,9.90E-11,3.10E-13,3.48E-11
0.4,0.44848,0.00869,0.0301,1249.73189,2323.61061,9442.90209,211.41114,5.73E-08,1.14E-07,5.46E-12,9.90E-11,8.88E-13,3.48E-11
0.48,0.53704,0.00994,0.03679,1356.43966,2070.34148,9419.10352,210.80781,5.75E-08,1.14E-07,1.08E-11,9.90E-11,2.03E-12,3.48E-11
0.56,0.62557,0.01142,0.04454,1458.62306,1582.15304,9395.49323,210.20937,5.76E-08,1.14E-07,1.90E-11,9.90E-11,4.00E-12,3.48E-11
0.64,0.7141,0.01313,0.05328,1557.23082,856.12235,9372.06803,209.61573,5.78E-08,1.14E-07,3.03E-11,9.90E-11,7.05E-12,3.48E-11
0.72,0.80261,0.01505,0.0629,1652.9021,422.07926,9348.82471,209.02685,5.79E-08,1.14E-07,4.51E-11,9.90E-11,1.14E-11,3.48E-11
0.8,0.8911,0.01722,0.07325,1746.08857,246.29875,9325.76,208.44267,5.80E-08,5.03E-08,6.35E-11,6.66E-11,1.73E-11,2.22E-11
0.88,0.97959,0.01962,0.08422,1837.12141,184.57051,9302.87059,207.86311,5.82E-08,3.24E-08,8.56E-11,6.06E-11,2.49E-11,2.07E-11
0.96,1.06807,0.02224,0.09602,1926.2507,160.00255,9280.15314,207.28813,5.83E-08,2.56E-08,1.11E-10,6.27E-11,3.43E-11,2.24E-11
1.04,1.15653,0.0251,0.10873,2013.66987,150.62209,9257.60426,206.71765,5.85E-08,2.25E-08,1.41E-10,6.87E-11,4.57E-11,2.56E-11
1.12,1.24498,0.0281,0.12028,2099.5316,146.71894,9235.22046,206.15162,5.86E-08,1.97E-08,1.74E-10,7.56E-11,5.90E-11,2.94E-11
1.2,1.3334,0.03136,0.13344,2183.95839,148.44269,9212.99825,205.58997,5.87E-08,1.83E-08,2.10E-10,8.48E-11,7.43E-11,3.44E-11
1.28,1.42179,0.03478,0.14646,2267.05001,151.70489,9190.93403,205.03264,5.89E-08,1.73E-08,2.49E-10,9.49E-11,9.16E-11,4.00E-11
1.36,1.51018,0.03833,0.1597,2348.8887,156.10898,9169.02416,204.47957,5.90E-08,1.70E-08,2.91E-10,1.06E-10,1.11E-10,4.63E-11
1.44,1.59855,0.04203,0.17302,2429.54297,160.59283,9147.26492,203.9307,5.92E-08,1.62E-08,3.36E-10,1.17E-10,1.32E-10,5.26E-11
