x;T;Tv_NO;Tv_N2
"-0.053";"3583.7";"1246.5";"499.5"
"0.179";"3580.2";"1468.3";"594.8"
"0.992";"3567.9";"1960.7";"837.4"
"1.572";"3559.1";"2200.7";"946.6"
"3.429".3531."2778.6";"1167.5"
"6.912";"3477.1".2999."1426.4"
"7.608";"3465.6";"3004.9";"1469.5"
"9.001";"3444.9";"3013.1";"1550.7"
"13.992";"3411.1";"3031.4";"1799.2"
"19.796";"3375.9";"3045.7";"2020.7"
"28.269";"3326.9";"3062.2";"2244.2"
"39.877";"3267.1";"3081.2";"2451.5"
"40.573";"3263.9";"3082.1".2462
"48.118";"3233.3";"3089.4";"2567.7"
"66.806".3193."3089.4";"2764.7"
"66.922";"3192.9";"3089.4";"2765.7"
"68.547";"3191.7";"3089.7";"2778.6"
"92.923";"3187.6";"3100.3".2914
"102.905";"3181.1";"3104.4";"2947.7"
"119.388";"3165.8";"3116.1";"2987.1"
"119.852";"3165.4";"3116.7".2988
"134.478";"3157.4";"3138.6";"3018.5"
"145.157";"3154.9";"3149.4".3046
"145.273";"3154.9";"3149.4";"3046.3"
"163.728".3152."3139.9";"3089.4"
"171.157";"3149.5".3133."3097.6"
"171.389";"3149.4";"3132.9";"3097.8"
"191.238";"3139.3";"3125.8";"3111.2"
"197.506";"3138.5";"3127.5";"3120.3"
"197.622";"3138.5";"3127.6";"3120.5"
"223.391";"3149.4";"3143.9";"3160.3"
"223.623";"3149.4";"3143.9";"3160.5"
"249.74";"3143.9";"3138.5";"3149.5"
"249.856";"3143.9";"3138.5";"3149.4"
"275.508";"3154.9".3133."3149.4"
"275.624";"3154.9".3133."3149.4"
"299.071";"3165.7";"3149.4";"3154.8"
"299.187";"3165.8";"3149.5";"3154.8"
"299.42";"3165.9";"3149.7";"3154.9"
