x;n_NO;n_NO_0
"-0.174";"3.3494";"3.3432"
"-0.087";"3.3531";"3.2098"
"0.609";"3.3825";"2.3128"
"2.174";"3.447";"1.7877"
"3.217";"3.4868";"1.6706"
"5.565";"3.5371";"1.4756"
"7.13";"3.5511";"1.4268"
"8.348";"3.5598";"1.426"
"16.174";"3.6004";"1.4074"
"17.304";"3.6032";"1.406"
"23.13";"3.5904";"1.4137"
"25.913";"3.5828";"1.4157"
"39.565";"3.5454";"1.3994"
"43.565";"3.5315";"1.3905"
"55.826";"3.4806";"1.3565"
"60.87";"3.4596";"1.3455"
"71.652";"3.4159";"1.3359"
"78.261";"3.3883";"1.3303"
"87.652";"3.3462";"1.3123"
"95.826";"3.307";"1.2903"
104;"3.2715";"1.268"
"113.478";"3.2398";"1.2502"
120;"3.2167";"1.2464"
"130.783";"3.1661";"1.2399"
136;"3.142";"1.2293"
148;"3.0995";"1.1999"
"151.913";"3.0872";"1.1946"
"165.652";"3.0373";"1.1797"
168;"3.0273";"1.1747"
"183.043";"2.958";"1.1347"
"184.261";"2.9527";"1.1327"
"199.652";"2.8938";"1.1294"
"199.913";"2.8929";"1.1295"
