x;T;Tv_NO;Tv_N2
"-0.363";"1917.7";"502.4";"327.8"
"-0.132";"1917.8";"528.2";"333.7"
"-0.114";"1917.8";"530.3";"334.2"
"3.475";"1918.7";"850.8";"422.4"
"7.304";"1918.4";"1026.7".497
"9.992";"1917.8";"1101.1";"533.9"
"11.26";"1917.5";"1128.5";"547.4"
"19.733";"1915.1";"1254.5";"600.4"
"24.62";"1913.9";"1308.1";"617.2"
"36.824";"1912.4";"1395.4".649
"38.328";"1912.4";"1400.7";"652.8"
"43.198";"1912.9".1414."665.8"
"63.418";"1917.8";"1444.2";"727.4"
"63.424";"1917.8";"1444.2";"727.4"
"69.218";"1918.4".1449.742
"89.437";"1917.8";"1460.5";"779.8"
"89.675";"1917.8";"1460.7";"780.2"
"105.111";"1918.3";"1470.4";"807.3"
"116.158";"1917.8";"1476.8";"829.6"
"116.386";"1917.8";"1476.9";"830.1"
"142.514";"1912.4";"1482.4";"883.5"
"142.758";"1912.4";"1482.3";"883.9"
"143.45";"1912.3";"1482.3";"885.1"
"169.242";"1912.4";"1482.2";"920.3"
"169.469";"1912.3";"1482.3";"920.6"
"181.543";"1910.4";"1490.1";"932.5"
"195.609";"1906.9";"1503.5";"945.2"
"196.185";"1906.8";"1504.1";"945.8"
"222.093";"1906.9";"1520.4";"975.7"
"222.314".1907."1520.4".976
"222.321".1907."1520.4";"976.1"
"248.344";"1917.8";"1509.6";"1028.5"
"248.804";"1917.8";"1509.5";"1029.1"
"249.844";"1917.7";"1509.3";"1030.5"
"274.944";"1906.9";"1514.9";"1035.9"
"275.172";"1906.9".1515."1035.9"
"275.399";"1906.8";"1515.1";"1035.9"
"298.868";"1912.1";"1525.9";"1051.7"
"299.443";"1912.4";"1526.1";"1052.3"
"299.453";"1912.4";"1526.1";"1052.3"
