x;n_NO;n_NO_0
"-0.055";"2.2443";"2.2525"
"0.027";"2.2458";"2.13"
"0.725";"2.2582";"1.7598"
"2.285";"2.2827";"1.4604"
"3.517";"2.301";"1.3173"
"8.238";"2.3667";"1.1397"
"8.484";"2.3698";"1.1373"
"14.807";"2.4402";"1.1206"
"18.174";"2.4727";"1.1263"
"21.541";"2.5006";"1.1355"
"27.33";"2.5307";"1.1547"
"31.887";"2.5612";"1.1698"
"39.605";"2.6078";"1.1908"
"45.723";"2.6298";"1.2034"
"51.964";"2.6447";"1.2135"
"59.436";"2.668";"1.2235"
"64.281";"2.6849";"1.2295"
"73.067";"2.7127";"1.2402"
"76.516";"2.7218";"1.2445"
"86.78";"2.7442";"1.257"
"88.833";"2.7486";"1.2593"
"99.836";"2.7754";"1.2704"
