x;n_NO;n_NO_0
"-0.0613";"1.87562";"1.87605"
"-0.031";"1.87605";"1.86324"
"1.0631";"1.89133";"1.47404"
"3.1878";"1.92103";"1.15578"
"4.7599";"1.94305";"1.04834"
"7.1313";"1.97606";"0.93802"
"9.2779";"2.00447";"0.87429"
"11.1651";"2.02748";"0.8431"
"13.8566";"2.05751";"0.81533"
"16.2599";"2.08224";"0.79844"
"18.1321";"2.10218";"0.79156"
"21.1422";"2.1359";"0.79006"
"22.8928";"2.15243";"0.78997"
"26.9258";"2.16918";"0.79044"
"31.2403";"2.19649";"0.79285"
"35.659";"2.22501";"0.79854"
"41.126";"2.25182";"0.80681"
"44.3923";"2.26131";"0.80989"
"51.0725";"2.26856";"0.8124"
"53.0651";"2.26968";"0.81268"
"61.019";"2.27718";"0.81519"
"61.7379";"2.27806";"0.81574"
"69.813";"2.28902";"0.82635"
"69.9558";"2.28922";"0.82658"
