x;n_NO;n_NO_0
"-0.036";"11.7471";"11.751"
"0.043";"11.751";"10.8562"
"0.514";"11.7743";"9.1484"
"2.322";"11.8638";"7.7621"
"4.916";"11.9923";"7.3146"
"5.859";"12.039";"7.2879"
"12.776";"12.3676";"7.3285"
"15.213";"12.4672";"7.368"
"21.343";"12.6534";"7.4618"
"23.623";"12.7124";"7.4929"
"33.448";"12.9409";"7.6177"
"37.849";"13.0284";"7.6645"
"41.701";"13.0948";"7.6979"
"54.277";"13.2692";"7.8003"
"59.464";"13.341";"7.8403"
"70.704";"13.4921";"7.9181"
"77.385";"13.5651";"7.9558"
"87.053";"13.6524";"7.9981"
"95.07";"13.7191";"8.0266"
"103.323";"13.7859";"8.0543"
"112.833";"13.8592";"8.0885"
"119.671";"13.9015";"8.1161"
"130.361";"13.941";"8.1504"
"135.863";"13.9545";"8.1579"
"148.046";"13.99";"8.1676"
"152.054";"14.0075";"8.1749"
"165.809";"14.09";"8.2116"
"168.403";"14.1053";"8.2179"
"183.494";"14.1721";"8.2466"
"184.673";"14.1761";"8.2486"
"199.45";"14.2196";"8.2728"
"199.686";"14.2202";"8.2732"
