x;T;Tv_NO;Tv_N2
"-0.285";"5205.6";"1033.8".290
"0.063";"5194.1";"1356.3";"486.2"
"0.179";"5190.3";"1458.4".554
"1.456";"5148.1";"2331.5";"1183.2"
"1.921".5133."2566.9";"1328.2"
"4.822";"5042.2";"3623.8";"1809.5"
"4.938";"5038.8";"3653.9";"1824.4"
"8.305";"4948.7";"4170.1";"2225.3"
"9.117";"4930.1".4229."2308.3"
"9.465";"4922.5";"4250.7";"2342.4"
"15.501";"4815.7".4458."2818.5"
"17.707";"4785.2";"4483.3";"2948.6"
"18.403";"4776.1";"4487.2";"2985.8"
"23.394";"4718.8";"4490.7";"3214.7"
"27.457";"4681.6";"4487.2".3370
"31.752";"4651.7";"4482.3";"3514.7"
"36.395";"4627.6";"4474.4".3650
"36.511".4627."4474.1";"3653.1"
"43.359";"4597.9";"4456.7";"3803.7"
"45.681";"4588.9";"4451.5";"3846.6"
"48.699";"4577.6";"4447.1";"3899.1"
"55.083";"4556.2";"4447.6";"3999.7"
"59.029";"4545.4";"4451.9";"4054.5"
"63.44";"4535.8".4458."4107.6"
"64.253";"4534.4";"4459.2";"4116.4"
"73.422";"4523.4";"4472.2";"4196.3"
"75.744";"4522.1";"4474.9";"4212.6"
"81.316";"4519.2";"4479.8";"4248.5"
"82.824".4518."4480.7";"4257.6"
"92.11";"4507.1";"4481.8";"4311.1"
"98.959";"4502.1";"4480.1".4349
"99.887";"4501.7";"4479.8";"4354.1"
"100.004";"4501.6";"4479.8";"4354.7"
