x;n_NO;n_NO_0
"-0.016";"19.8428";"19.8428"
"4.678";"19.8403";"18.7592"
"16.152";"19.8571";"17.6942"
"19.629";"19.8665";"17.5416"
"48.661";"19.9599";"17.0103"
"53.702";"19.9758";"16.9764"
"80.474";"20.0479";"16.9461"
"88.471";"20.0651";"16.9604"
"112.809";"20.121";"16.9843"
"123.24";"20.1528";"16.9889"
"144.623";"20.209";"16.9976"
"158.356";"20.2196";"17.0026"
"176.436";"20.2228";"17.0062"
"192.604";"20.2397";"17.0014"
"208.597";"20.2662";"16.9868"
"227.373";"20.2961";"16.9706"
"240.585";"20.3096";"16.9678"
"262.141";"20.3168";"16.9694"
"272.746";"20.3234";"16.9669"
"296.215";"20.3571";"16.9534"
"304.733";"20.3668";"16.9474"
"331.158";"20.3675";"16.9225"
"336.721";"20.3658";"16.9153"
"365.579";"20.3645";"16.8769"
"368.882";"20.3647";"16.8738"
"398.957";"20.3637";"16.8609"
"399.305";"20.3637";"16.8608"
