x;T;Tv_NO;Tv_N2
"-0.132";"6078.9";"1022.9";"529.2"
"0.011".6074."1139.2";"586.3"
"0.04".6073."1162.9";"597.9"
"1.558";"6021.5";"2279.6";"1184.1"
"1.785";"6013.8".2411."1262.2"
"3.595";"5953.7";"3177.2";"1643.6"
"3.878";"5944.6";"3275.5".1681
"5.293";"5900.2";"3725.5";"1850.7"
"6.793".5858."4110.7";"2017.8"
"8.641";"5814.5";"4445.2";"2219.5"
"10.454";"5776.8";"4679.2";"2416.5"
"10.576";"5774.4".4693."2429.3"
"14.16";"5705.7";"5003.7";"2757.9"
"14.229";"5704.4";"5008.2";"2763.5"
"20.677";"5600.4";"5264.2";"3201.8"
"20.733";"5599.7";"5265.3";"3205.2"
"22.929";"5572.9";"5295.7";"3332.1"
"30.836";"5504.8";"5318.8";"3694.6"
"30.895";"5504.3";"5318.8";"3696.8"
"31.872";"5496.9";"5318.2";"3732.8"
"41.054";"5432.1";"5307.4";"4031.4"
"41.75";"5428.2";"5306.4".4052
"43.312";"5420.2";"5304.3";"4097.4"
"50.865";"5391.2";"5294.1";"4298.8"
"51.272";"5389.9";"5293.5";"4308.6"
"56.028";"5375.4";"5286.3";"4414.2"
"59.226";"5365.7";"5281.9";"4476.3"
"61.142";"5359.6";"5279.5";"4510.3"
"69.966";"5331.9";"5269.5";"4641.2"
"71.07";"5329.3";"5268.1";"4655.3"
"73.33";"5325.1";"5265.4";"4682.9"
"80.939";"5317.1";"5263.1".4767
"81.114".5317."5263.3";"4768.8"
"90.983";"5310.6";"5278.2";"4867.2"
"92.841";"5310.8";"5280.6";"4885.1"
"99.402";"5315.5";"5274.4";"4947.4"
"99.806";"5315.9";"5273.3";"4951.2"
"100.156";"5316.3";"5272.3";"4954.5"
