x,T,Tv_NO,Tv_N2
"0,133","8181,2","1481,6","794,9"
"0,152","8179,6","1508,9","819,9"
"0,156","8179,2","1514,1","824,7"
"1,086","8101,1","2768,3","1843,3"
"1,441","8071,5","3165,9","2097,9"
"2,367","7995,6","3953,5","2675,2"
"2,898","7953,3",4315,"3048,8"
"3,707","7891,5","4808,9","3513,1"
"4,426",7840,"5175,9","3800,2"
"4,586","7829,1","5248,6","3856,5"
"6,265","7732,9","5871,4","4374,9"
"7,086","7697,3","6110,4","4606,3"
"9,242","7624,6","6576,3","5140,7"
"9,693","7611,5","6647,8","5236,7"
"10,63","7585,6","6774,8","5417,3"
"14,514","7492,5",7105,"5966,8"
"16,378",7455,"7193,7","6162,2"
"18,353","7421,1","7254,4","6345,3"
"21,076","7385,9","7300,7","6565,3"
"24,794","7356,2","7325,4","6771,2"
"26,475","7346,9",7329,"6828,6"
"27,174","7343,3","7329,7","6850,4"
"34,833","7305,6",7317,"7050,1"
"35,821","7301,6","7313,4","7069,6"
"35,879","7301,4","7313,2","7070,7"
"43,075","7280,7","7282,4","7157,8"
"44,643","7277,5","7277,5","7169,1"
"53,29","7259,7","7265,6","7217,6"
"53,348","7259,5","7265,5","7217,9"
"53,348","7259,5","7265,5","7217,9"
"62,17","7235,6","7235,8","7241,6"
"62,17","7235,6","7235,8","7241,6"
"62,228","7235,4","7235,6","7241,6"
"70,179","7217,7","7217,7","7223,6"
"70,237","7217,6","7217,6","7223,4"
