x;n_NO;n_NO_0
"0.077";"3.8978";"3.8999"
"0.159";"3.8999";"3.7508"
"0.654";"3.9129";"3.2135"
"2.174";"3.9522";"2.6108"
"5.285";"4.028";"2.0895"
"5.457";"4.0319";"2.0749"
"10.698";"4.1338";"1.8206"
"12.389";"4.1607";"1.7788"
"16.358";"4.2116";"1.7319"
"18.746";"4.2303";"1.7283"
"20.951";"4.2505";"1.729"
"23.832";"4.2911";"1.7336"
"26.446";"4.3283";"1.7414"
"29.615";"4.354";"1.7501"
"30.875";"4.3616";"1.7521"
"35.11";"4.3945";"1.761"
"36.617";"4.406";"1.7685"
"40.811";"4.4313";"1.7942"
"41.169";"4.4337";"1.796"
"46.184";"4.4703";"1.8106"
"46.501";"4.4725";"1.8116"
"51.217";"4.5001";"1.8263"
"57.175";"4.5381";"1.8436"
"61.101";"4.561";"1.8522"
"68.248";"4.5935";"1.8654"
"71.149";"4.6052";"1.8719"
"79.199";"4.6407";"1.8872"
"81.115";"4.6494";"1.8886"
"90.231";"4.6899";"1.8922"
"90.999";"4.6935";"1.8933"
"99.817";"4.7377";"1.9196"
"99.828";"4.7378";"1.9197"
