x,T,Tv_NO,Tv_N2
"-0,123","3722,5","1037,5",402
"-0,024","3722,2","1079,8","448,9"
"0,096","3721,8","1131,1","508,3"
"1,022","3718,5",1520,"712,2"
"1,782","3715,8","1807,4","798,9"
"4,339","3706,2","2471,7","1000,3"
"5,086","3703,3",2609,"1047,3"
"7,48","3692,6","2952,5","1179,4"
"9,683","3681,2",3160,"1284,2"
"12,923","3665,8","3328,6","1418,4"
"15,547","3656,7","3403,3","1513,2"
"17,519","3651,5","3441,2","1577,9"
"24,01",3638,3511,"1765,5"
"25,993","3633,9",3519,"1817,8"
"29,127","3626,8","3525,8","1897,3"
"37,949","3600,4",3531,"2099,7"
"38,289","3599,3","3531,1","2106,6"
"42,65","3584,9","3533,2","2187,8"
"48,279",3568,3531,"2275,5"
"49,782","3563,9","3528,8","2298,2"
"56,114",3549,"3516,5","2395,4"
"62,034","3538,6","3507,1","2479,8"
"64,234","3535,8","3504,9","2507,6"
"69,695",3531,"3501,7","2566,3"
"78,226","3528,4","3495,1","2645,6"
"78,802","3528,1","3494,3","2651,3"
"82,986",3525,"3486,5","2695,2"
"91,459","3510,6","3471,2","2781,6"
"93,022","3507,5","3470,8","2794,9"
"96,508","3501,1",3473,2821
"103,414","3492,3","3477,1","2864,1"
"109,915","3489,1","3469,7","2900,4"
"110,318","3489,1","3469,1","2902,6"
"117,517","3491,1","3459,2","2944,1"
"123,321","3495,1","3458,3","2977,1"
"125,06","3496,5","3458,9","2986,4"
"130,692","3500,4","3459,2","3013,7"
"136,902","3501,1","3453,3","3042,5"
"137,654","3500,7","3452,4","3046,2"
"143,344","3494,4","3447,2","3077,1"
"149,204","3483,7","3462,5","3112,1"
"149,496","3483,1","3464,2","3113,9"
"149,67","3482,8","3465,2","3114,9"
