x;T;Tv_NO;Tv_N2
"-0.242";"3497.8";"921.6";"367.3"
"-0.096";"3496.5";"998.6";"438.1"
"-0.014";"3495.7";"1041.1";"480.7"
"1.268".3484."1622.8";"861.7"
"1.86";"3478.7";"1825.3";"934.2"
"4.64";"3455.6";"2434.5";"1150.2"
"6.167";"3444.5";"2625.5";"1246.4"
"8.824";"3427.8";"2822.7";"1389.8"
"13.726";"3403.9";"2973.3";"1596.8"
"14.518";"3400.7";"2986.1";"1629.3"
"16.625";"3392.7".3012."1716.5"
"22.653";"3373.2";"3048.9";"1939.6"
"32.877";"3345.5";"3066.3";"2173.7"
"39.973".3328."3071.9";"2292.5"
"40.093";"3327.7".3072."2294.4"
"45.309";"3315.1";"3079.2";"2380.5"
"57.623";"3289.3";"3103.9".2571
"66.225";"3278.7";"3120.8";"2643.5"
"66.227";"3278.7";"3120.9";"2643.5"
"71.215";"3276.4";"3128.2";"2679.9"
"81.554";"3276.1";"3137.8";"2777.9"
"91.78";"3273.8";"3142.6".2844
"92.478";"3273.3";"3142.9";"2848.2"
"95.958";3270;"3144.1";"2870.4"
"109.666";"3248.7";"3150.9";"2957.5"
"118.264";"3235.3".3159."2984.1"
"118.381";"3235.2";"3159.1";"2984.4"
"130.691";"3224.9";"3176.8";3012
"144.748";"3224.3";"3191.5";"3047.5"
"144.98";"3224.4";"3191.6";"3048.1"
"152.064";"3227.4";"3190.4";"3066.4"
"167.862";"3234.7";"3180.8";"3093.6"
"170.302";"3235.1";"3180.7";"3095.6"
"170.535";"3235.2";"3180.8";"3095.8"
"185.285";"3231.4";"3192.4";3110
"196.786";"3224.4";"3202.5";"3133.4"
"196.902";"3224.3";"3202.6";"3133.6"
"204.916";"3219.2";3203;"3142.6"
"222.34";"3213.4";"3191.6";"3144.4"
"222.34";"3213.4";"3191.6";"3144.4"
"235.001";"3216.3";"3184.6";"3142.6"
"246.733";"3218.9";"3185.1";"3153.5"
"248.824";"3218.9";"3186.2";"3155.6"
"249.056";"3218.8";"3186.3";"3155.8"
"259.974";"3215.4";"3196.3";"3164.4"
"270.661";"3209.7";"3206.2";"3180.7"
"274.843";"3207.9";"3207.9";"3181.3"
"283.206";"3206.3";"3205.5";"3180.7"
"298.887";"3207.9";"3186.3";"3197.1"
"299.003";"3207.9";"3186.2";"3197.2"
"299.12";"3207.9";"3186";"3197.4"
