x,n_NO,n_NO_0
"-0,362","26,4336","26,441"
"-0,204","26,441","25,8358"
"0,916","26,4936","21,9754"
"2,816","26,5826","18,6849"
"6,598","26,7546","16,4522"
"10,951","26,9306","15,3229"
"12,103","26,9681","15,1595"
"20,221","27,1656","14,7426"
"22,477","27,228","14,7286"
"38,133","27,6553","14,8687"
"40,705","27,7063","14,9049"
"52,432","27,8511","15,0531"
"56,575","27,9147","15,1007"
"70,345","28,1449","15,2541"
"83,387","28,2429","15,3846"
"91,459","28,3247","15,4533"
"115,757","28,5758","15,5876"
"125,873","28,6563","15,6295"
"147,342","28,7717","15,7318"
"160,601","28,8281","15,7862"
"178,927","28,8892","15,8281"
"194,857","28,9201","15,845"
"210,67","28,948","15,858"
"229,586","28,9975","15,8646"
"242,255","29,0263","15,8595"
"263,686","29,0374","15,845"
"273,998","29,0263","15,8418"
"298,1","28,979","15,845"
"306,056","28,9675","15,8478"
"332,672","28,9546","15,845"
"337,327","28,948","15,8401"
"367,086","28,8571","15,7862"
"369,385","28,85","15,7816"
"398,987","28,7923","15,7275"
"399,714","28,7913","15,7262"
