x;T;Tv_NO;Tv_N2
"-0.188";"3583.7";"1316.1";"372.1"
"-0.026";"3584.9";"1437.6";"422.2"
"-0.019";"3585.4";"1442.8";"424.4"
"0.628";"3587.1";"1890.6";"612.2"
"1.443";"3582.7";"2327.5";"778.6"
"1.725";"3580.9";"2473.8";"819.3"
"2.664";"3574.4";"2800.2";"914.7"
"3.2";"3570.6".2907."953.2"
"5.569";"3552.8";"3147.2";"1077.2"
"6.371";"3546.8";"3182.5";"1112.4"
"10.737";"3514.9";"3242.8";"1287.9"
"16.591";"3477.5";"3259.8".1501
"17.945";"3470.3";"3260.7";"1546.7"
"19.62";"3462.3";"3260.4".1600
"27.159";"3437.4".3248."1787.9"
"32.45";"3423.7".3236."1888.7"
"32.967";"3422.2";"3234.9";"1897.9"
"41.965";"3389.7";"3220.9";"2044.7"
"46.616".3373."3217.6".2106
"47.758";"3369.4";"3217.1";"2119.1"
"51.081";"3360.6";"3216.4";"2158.1"
"62.409";"3342.7";"3211.7";"2307.8"
"62.868";"3342.1";"3211.2";"2313.3"
"63.047";"3341.9".3211."2315.4"
"77.329";"3324.2";"3186.8";"2455.4"
"77.441".3324."3186.7";"2456.4"
"77.619";"3323.8";"3186.5";"2457.9"
"91.96";"3299.7";"3186.1";"2573.8"
"92.075";"3299.5".3186."2574.7"
"92.188";"3299.3";"3185.9";"2575.5"
"106.648";"3269.3";"3172.8";"2668.9"
"107.051";"3268.5";"3173.1";"2670.8"
"107.46";"3267.8";"3173.5";"2672.6"
"121.279";"3256.8";"3205.6";"2721.9"
"121.798";"3257.1";"3206.6";"2724.1"
"123.252";"3258.2";"3208.8";"2730.5"
"136.083";"3268.2".3197."2800.4"
"136.255";"3268.1";"3196.8";"2801.4"
"136.606";"3267.8";"3196.4";"2803.3"
"149.262";"3233.5";"3195.9";"2865.4"
"149.551";"3232.5";"3196.1";"2866.7"
"149.727";"3231.8";"3196.2";"2867.5"
