x;nm
"0.0943";"7.7383"
"3.5487";"7.8826"
"7.2462";"7.4899"
"10.278";"6.547"
"13.704";"5.3456"
"17.8271";"4.1174"
"21.9649";"3.1409"
"27.724";"2.1275"
"33.5888";"1.4027"
"41.726";"0.8255"
