x;T1;Tv1
"0.007";"8733.1";"1469.4"
"0.126";"8731.8";"1543.2"
"1.44";"8717.2";"2319.5"
"2.929";"8700.9";"3090.9"
"4.419";"8684.8";"3872.2"
"7.136";8657;"4910.6"
"10.732";"8624.6";5949
"13.97";8602;6709
"13.978";"8601.9";"6710.5"
"18.541";8583;"7437.4"
"23.105";"8574.4";"7892.3"
"26.264";"8569.7";"8105.8"
"29.514";8562;"8268.1"
"36.187";"8549.9";"8454.8"
"37.68";"8550.6";"8480.7"
"46.724";"8567.2";"8559.7"
"47.937";"8569.3";8563
"58.667";"8577.1";"8574.5"
"58.67";"8577.1";"8574.5"
"68.765";"8594.2";"8589.3"
"68.941";"8594.5";"8589.3"
"79.654";8609;"8570.1"
"79.918";"8609.3";"8569.4"
