x;T1;Tv1
"-0.554";"2185.5";"676.5"
"-0.16";"2185.5";"712.7"
"4.015";"2185.9";"1057.3"
"10.163";"2186.6";"1393.5"
"18.244";"2187.5";"1655.6"
"30.891";"2189.1";1898
"32.879";"2189.4";"1922.9"
"45.118";"2191.7";"2026.5"
"57.136";"2193.4";"2094.6"
"58.643";"2193.5";"2100.7"
"77.085";"2193.2";"2150.2"
"81.817";"2193.1";"2159.1"
"99.479";"2193.6";"2179.8"
"105.938";"2193.1";"2183.4"
"130.655";"2189.7";"2189.7"
"155.069";"2194.7";"2189.7"
"155.069";"2194.7";"2189.7"
"179.483";"2189.7";"2189.7"
"203.721";"2194.7";"2199.6"
"203.897";"2194.7";"2199.6"
"228.223";"2194.7";"2189.7"
"228.223";"2194.7";"2189.7"
"252.724";"2184.8";"2184.8"
"277.138";"2184.8";"2189.7"
"277.138";"2184.8";"2189.7"
"299.532";"2184.8";"2189.7"
"299.532";"2184.8";"2189.7"
