x;n_NO;n_NO_0
"0.055";"4.7009";"4.7162"
"0.076";"4.7003";"4.6929"
"2.074";"4.652";"2.7802"
"3.787";"4.6083";"2.2857"
"7.783";"4.4835";"1.7565"
"8.211";"4.4667";"1.7219"
"15.642";"4.0121";"1.3582"
"17.26";"3.8943";"1.3053"
"28.102";"3.1135";"1.0211"
"30.619";"2.9416";"0.9625"
"40.381";"2.3387";"0.7467"
"43.977";"2.1453";"0.6803"
"52.479";"1.7464";"0.5623"
"57.393";"1.551";"0.5066"
"64.713";"1.3056";"0.4248"
"70.98";"1.1349";"0.3589"
"76.947";"0.9921";"0.305"
"84.396";"0.8273";"0.2546"
"89.134";"0.7403";"0.2338"
"97.755";"0.6301";"0.2067"
"101.408";"0.5926";"0.1946"
"111.17";"0.4939";"0.1588"
"113.625";"0.471";"0.1497"
"124.415";"0.3913";"0.1195"
"125.785";"0.384";"0.1176"
"137.888";"0.341";"0.1106"
"138.059";"0.3405";"0.1105"
"149.762";"0.3016";"0.0887"
"149.876";"0.3012";"0.0884"
