x;n_NO;n_NO_1
"0.273";"20.5324";"20.508"
"0.958";"20.534";"19.7263"
"7.353";"20.5486";"14.2709"
"17.631";"20.5668";"12.2308"
"34.761";"20.5726";"11.4276"
"38.187";"20.5698";"11.3729"
"81.812";"20.494";"11.2177"
"89.35";"20.481";"11.2164"
"128.635";"20.4415";"11.1798"
"140.284";"20.4392";"11.1638"
"176.371";"20.4279";"11.1224"
"191.674";"20.4071";"11.1112"
"223.194";"20.3493";"11.1011"
"243.065";"20.3213";"11.0975"
"270.93";"20.2838";"11.0869"
"294.227";"20.2402";"11.0709"
"317.753";"20.1922";"11.048"
"345.39";"20.1443";"11.0183"
"365.032";"20.1137";"10.9989"
"396.78";"20.0628";"10.9657"
"412.312";"20.0351";"10.9461"
"447.486";"19.9659";"10.9001"
"459.591";"19.9436";"10.8865"
"498.876";"19.8792";"10.8475"
"506.414";"19.865";"10.8398"
"550.267";"19.7679";"10.7949"
"553.921";"19.7605";"10.7914"
"597.546";"19.6958";"10.7553"
"598.232";"19.695";"10.7548"
