x;T1;Tv1
"0.08";"2364.3";"801.1"
"0.599";"2363.7";860
"5.557";"2354.9";"1354.3"
"5.69";"2354.4";"1364.3"
"7.919";"2342.7";"1506.4"
"9.817";"2354.8";"1601.6"
"12.23";"2358.1";"1705.4"
"14.889";"2358.3";"1808.8"
"20.22";"2358.1";"1977.3"
"21.858";"2358.1";"2016.2"
"28.828";2358;"2131.3"
"28.957";2358;"2132.9"
"35.798";"2357.9";"2204.2"
"37.65";"2358.5";"2219.3"
"42.768";"2357.8";"2253.3"
"46.299";"2351.7";"2271.1"
"49.737";2342;"2285.8"
"55.522";"2326.4";"2310.5"
"56.15";"2326.2";"2313.7"
"58.937";"2341.9";"2328.2"
"62.492";"2344.1";"2337.9"
"65.907";"2341.8";"2338.7"
"72.807";"2341.6";"2337.8"
"72.877";"2341.7";"2337.8"
"79.843";"2357.3";"2352.2"
"79.846";"2357.3";"2352.2"
"83.192";"2341.5";"2350.5"
"90.117";"2341.4";"2342.1"
"90.162";"2341.4";"2342.1"
"97.131";"2341.3";"2342.1"
"97.23";"2341.3";2342
"104.08";"2341.2";2332
"104.101";"2341.2";2332
"107.168";"2356.9";"2332.1"
"114.09";"2341.1";"2336.8"
"114.137";"2341.1";"2336.9"
"121.027";2341;"2341.7"
"121.107";2341;"2341.8"
"128.077";"2340.9";"2349.7"
"131.422";"2356.5";"2351.4"
"131.477";"2356.5";"2351.4"
"138.392";"2340.7";"2349.9"
"145.352";"2340.6";"2346.3"
"145.362";"2340.6";"2346.3"
"152.331";"2340.5";"2345.3"
"158.743";"2340.4";"2346.1"
"158.787";"2340.4";"2346.1"
"165.713";"2340.3";"2346.7"
"172.683";"2340.2";"2346.7"
"179.931";"2340.1";"2345.7"
"179.95";"2340.1";"2345.7"
"186.901";2340;"2342.4"
"193.871";"2339.9";"2340.6"
"193.912";"2339.9";"2340.6"
"200.84";"2339.8";2342
"204.186";"2339.7";"2342.9"
"211.156";"2339.6";"2344.6"
"218.125";"2339.5";"2345.2"
"218.236";"2339.6";"2345.2"
"225.095";"2355.1";"2344.2"
"228.162";"2355.1";"2343.4"
"235.131";"2339.3";"2341.2"
"242.101";"2339.1";"2339.9"
"242.121";"2339.2";"2339.9"
"249.071";2339;"2341.8"
"256.04";"2338.9";"2344.6"
"256.083";"2338.9";"2344.6"
"262.731";"2338.8";2342
"269.694";"2338.7";"2339.5"
"269.701";"2338.7";"2339.5"
"276.671";"2338.6";"2341.8"
"283.64";"2338.5";"2344.2"
"283.744";"2338.5";"2344.2"
"290.61";"2338.4";2341
"297.443";"2338.3";"2334.1"
"297.58";"2338.3";"2333.9"
