x;T1;Tv1
"-0.465";"3464.8";"824.8"
"-0.014";"3465.1";"924.2"
"2.875";"3466.8";1537
"6.478";"3468.2";"2061.1"
"10.999";3469;"2473.8"
"13.77";"3469.2";"2674.3"
"24.135";"3469.2";"3124.4"
"35.046";3469;"3315.6"
"38.45";3469;"3351.8"
"51.711";3469;3426
"59.511";3469;"3446.7"
"66.641";"3468.8";"3460.6"
"83.594";"3464.2";"3470.5"
"83.678";"3464.1";"3470.5"
"107.714";"3451.7";"3460.6"
"107.74";"3451.7";"3460.6"
"131.978";"3464.2";"3475.5"
"132.056";"3464.2";"3475.5"
"156.177";"3464.2";"3470.5"
"156.217";"3464.2";"3470.5"
"180.279";"3476.6";"3475.5"
"180.519";"3476.6";"3475.4"
"204.64";"3464.2";"3465.6"
"204.693";"3464.1";"3465.6"
"228.755";"3464.2";"3475.5"
"228.76";"3464.2";"3475.5"
"253.081";"3476.6";"3475.5"
"253.102";"3476.6";"3475.5"
"277.232";"3464.2";"3475.5"
"277.444";"3464.2";"3475.5"
"299.352";"3476.6";"3475.5"
"299.362";"3476.6";"3475.5"
