x;T1;Tv1
"0.192";"3461.1";"950.5"
"0.379";"3474.4";"993.5"
"0.666";"3473.1";"1059.6"
"3.8";"3456.2";"1769.8"
"7.047";"3441.9";"2274.2"
"7.357";"3441.6";"2307.6"
"8.472";3473;"2420.2"
"14.947";"3458.3";"2902.1"
"15.442";"3457.2";"2928.1"
"22.411";"3457.1";"3183.5"
"26.537";"3457.3";"3272.8"
"29.381";3457;"3318.6"
"35.23";"3460.5";"3383.4"
"40.147";"3460.7";3416
"47.875";"3455.4";"3444.3"
"49.175";3441;"3447.3"
"55.837";"3456.6";"3456.9"
"55.866";"3456.6";"3456.9"
"62.557";"3456.5";"3459.3"
"69.526";"3456.4";"3456.7"
"69.611";"3456.4";"3456.7"
"76.496";"3456.3";"3453.5"
"83.466";"3456.2";"3453.4"
"83.551";"3456.2";"3453.4"
"90.157";"3456.1";"3455.6"
"97.126";3456;"3458.2"
"104.019";"3455.9";"3459.3"
"104.096";"3455.9";"3459.3"
"111.066";"3455.8";"3457.5"
"118.035";"3455.7";"3454.6"
"125.005";"3455.6";"3452.8"
"125.04";"3455.6";"3452.8"
"131.975";"3455.5";3453
"138.945";"3455.4";"3454.4"
"145.914";"3455.3";"3456.4"
"152.81";"3455.1";"3458.6"
"152.884";"3455.1";"3458.6"
"159.854";3455;"3460.6"
"166.823";"3454.9";"3462.3"
"173.793";"3454.8";"3463.6"
"180.58";"3454.8";"3464.4"
"180.763";"3454.7";"3464.4"
"187.732";"3454.6";"3464.7"
"194.423";"3470.2";"3464.7"
"201.393";"3470.1";"3464.5"
"208.35";3470;3464
"208.363";3470;3464
"215.332";"3469.9";"3463.4"
"222.302";"3469.8";3463
"229.26";"3469.7";"3463.6"
"229.272";"3469.7";"3463.7"
"236.241";"3469.6";"3465.4"
"243.211";"3469.5";"3467.6"
"250.181";"3469.4";"3469.5"
"250.281";"3469.4";"3469.6"
"256.872";"3469.3";"3470.5"
"263.841";"3469.2";"3470.3"
"270.811";"3469.1";"3469.3"
"270.86";"3469.1";"3469.3"
"277.502";3469;"3467.6"
"284.193";"3468.9";"3465.5"
"291.163";"3468.8";"3462.7"
"291.217";"3468.8";"3462.7"
"298.132";"3468.7";"3457.9"
"299.515";"3468.7";"3456.4"
