x;n_NO;n_NO_0
"-0.103";"9.3866";"9.3836"
"0.24";"9.3866";"9.2582"
"2.467";"9.3869";"8.3199"
"6.183";"9.3873";"7.0107"
"17.371";"9.3889";"5.7669"
"34.815";"9.3918";"5.2813"
"38.627";"9.3925";"5.2514"
"82.08";"9.3918";"5.1191"
"89.199";"9.3884";"5.1123"
"128.918";"9.359";"5.114"
"140.635";"9.3526";"5.1205"
"175.756";"9.3427";"5.1311"
"192.071";"9.34";"5.1287"
"223.456";"9.3345";"5.1099"
"242.645";"9.3298";"5.096"
"270.869";"9.3181";"5.0825"
"293.793";"9.3042";"5.0796"
"317.707";"9.2936";"5.0837"
"345.229";"9.2937";"5.0878"
"365.407";"9.2936";"5.0843"
"396.952";"9.2792";"5.0714"
"412.245";"9.269";"5.0647"
"448.388";"9.2487";"5.0551"
"459.945";"9.2445";"5.0553"
"498.962";"9.2378";"5.0551"
"506.784";"9.2363";"5.0522"
"550.398";"9.2215";"5.0305"
"554.484";"9.2199";"5.0296"
"597.524";"9.2044";"5.0387"
"599.885";"9.2036";"5.0397"
