x;T1;Tv1
"0.021";"5464.5";"1261.2"
"0.031";"5464.5";"1266.3"
"1.189";"5462.5";"1954.8"
"2.237";"5460.8";2693
"5.386";"5454.8";"3786.4"
"7.485";"5449.6";"4271.9"
"8.978";"5444.5";"4549.6"
"12.517";"5435.4";"4976.3"
"13.018";"5434.8";"5010.1"
"19.098";"5431.6";"5281.6"
"25.048";"5429.7";"5382.8"
"25.681";"5429.4";"5387.5"
"33.481";"5425.2";"5418.6"
"37.166";"5424.7";"5420.8"
"42.055";"5427.1";"5421.6"
"49.021";"5429.6";"5430.9"
"49.025";"5429.6";"5430.9"
"61.195";"5419.7";"5418.4"
"61.315";"5419.6";"5418.3"
"73.948";"5419.6";"5413.6"
"73.96";"5419.6";"5413.6"
"85.288";"5414.5";"5417.5"
"85.308";"5414.5";"5417.5"
"97.714";"5414.5";"5413.5"
"97.757";"5414.5";"5413.5"
"109.349";"5414.4";"5414.4"
"121.379";"5414.3";"5419.3"
"121.467";"5414.3";"5419.3"
"133.322";"5404.4";"5404.4"
"145.177";"5409.2";"5409.2"
"157.383";"5409.2";"5411.6"
"157.395";"5409.2";"5411.6"
"169.123";"5394.3";"5392.8"
"169.15";"5394.3";"5392.8"
"181.356";"5394.2";"5405.2"
"181.403";"5394.2";"5405.2"
"192.157";"5389.2";"5389.2"
"205.329";"5389.1";"5384.1"
"205.417";"5389.1";"5384.2"
"217.798";5394;5389
"217.886";5394;5389
"229.302";5389;5389
"241.684";"5383.9";"5383.9"
"241.771";"5383.9";"5383.9"
"253.538";"5383.9";"5388.8"
"253.626";"5383.9";"5388.8"
"265.481";"5378.9";"5388.7"
"265.481";"5378.9";"5388.7"
"277.511";"5378.8";"5383.7"
"277.511";"5378.8";"5383.7"
"289.191";"5378.7";"5388.6"
"289.278";"5378.7";"5388.6"
"299.553";"5378.7";"5378.8"
"299.64";"5378.7";"5378.7"
