x;T1;Tv1
"-0.048";"7067.2";"1226.7"
"0.278";"7066.6";"1378.2"
"1.704";7064;"2047.6"
"3.37";"7061.8";"2799.2"
"3.439";"7061.7";"2826.4"
"5.649";"7058.9";"3575.5"
"9.157";"7054.6";"4594.1"
"12.755";"7050.2";5321
"15.469";"7046.8";"5775.4"
"17.669";7044;"6047.9"
"26.009";7034;"6626.4"
"28.027";"7031.9";"6706.5"
"35.755";"7026.7";"6883.5"
"40.233";"7026.9";"6940.9"
"48.575";"7033.7";"7002.1"
"52.351";"7036.7";"7015.5"
"64.82";"7036.6";"7031.6"
"64.908";"7036.6";"7031.6"
"77.026";"7036.5";"7036.5"
"89.32";"7046.3";"7051.3"
"89.32";"7046.3";"7051.3"
"101.263";"7046.2";"7036.4"
"101.351";"7046.3";"7036.4"
"113.645";"7056.1";"7051.1"
"113.645";"7056.1";"7051.1"
"125.938";7056;7056
"138.232";"7070.8";"7070.7"
"138.32";"7070.8";"7070.8"
"150.087";"7070.7";"7075.6"
"150.175";"7070.7";"7075.6"
