x;n_NO;n_NO_0
"-0.465";"38.4567";"38.4537"
"0.453";"38.4536";"35.9578"
"4.782";"38.4393";"26.2476"
"8.676";"38.4266";"23.5024"
"11.886";"38.4164";"22.3993"
"23.586";"38.3819";"21.0018"
"34.416";"38.3543";"20.7169"
"36.896";"38.3486";"20.7072"
"81.919";"38.2055";"20.4736"
"89.218";"38.1633";"20.4356"
"128.504";"37.8361";"20.2573"
"140.163";"37.7261";"20.2132"
"176.236";"37.3932";"20.0817"
"191.567";"37.2594";"20.0152"
"223.05";"36.9748";"19.841"
"242.742";"36.7731";"19.7191"
"270.552";"36.4828";"19.5517"
"293.916";"36.2577";"19.4231"
"317.825";"36.0154";"19.3035"
"345.779";"35.6777";"19.1516"
"365.097";"35.4254";"19.0219"
"396.494";"35.0156";"18.7821"
"412.14";"34.8109";"18.6606"
"448.357";"34.33";"18.388"
"460.101";"34.1719";"18.3032"
"499.302";"33.6374";"18.0184"
"506.914";"33.5329";"17.9601"
"550.935";"32.9193";"17.5999"
"554.416";"32.8693";"17.5699"
"595.225";"32.2652";"17.2061"
"599.164";"32.2059";"17.1703"
