x;n_NO;n_NO_0
"-0.079";"5.5084";"5.4976"
"0.031";"5.5088";"5.3942"
"3.518";"5.5196";"3.6548"
"12.869";"5.4998";"2.5674"
"13.048";"5.4988";"2.5565"
"24.091";"5.4149";"2.2171"
"37.028";"5.2791";"2.078"
"41.211";"5.2271";"2.0448"
"61.235";"4.9423";"1.9129"
"67.107";"4.8577";"1.8786"
"85.215";"4.6056";"1.7795"
"93.146";"4.4967";"1.7369"
"109.422";"4.2688";"1.6482"
"119.33";"4.1244";"1.5953"
"133.173";"3.9272";"1.5252"
"145.226";"3.7705";"1.4659"
"157.266";"3.6197";"1.406"
"170.978";"3.4435";"1.3365"
"181.246";"3.3122";"1.2841"
"197.306";"3.1165";"1.2071"
"205.225";"3.0242";"1.1736"
"223.202";"2.8218";"1.1023"
"229.204";"2.7557";"1.0774"
"249.385";"2.5406";"0.9852"
"253.298";"2.5018";"0.966"
"275.281";"2.2986";"0.8681"
"277.619";"2.2771";"0.8606"
"299.429";"2.0672";"0.8189"
"299.595";"2.0655";"0.8186"
