x;T1;Tv1
"-0.04";3568;1077
"-0.022";"3567.9";"1086.6"
"1.281";"3563.6";"1615.7"
"3.569";"3556.5";"2129.6"
"6.559";"3548.9";"2628.8"
"10.958";3543;"3015.5"
"14.029";"3542.8";"3206.9"
"22.024";"3550.2";"3429.2"
"24.045";"3552.7";"3454.5"
"31.16";"3559.1";"3513.1"
"35.113";"3557.5";"3529.1"
"44.072";"3541.9";"3542.5"
"47.058";"3537.6";"3542.7"
"59.267";"3537.3";"3537.4"
"59.443";"3537.4";"3537.4"
"72.179";"3542.1";"3542.1"
"72.267";"3542.1";"3542.2"
"83.598";"3546.9";"3541.9"
"83.686";"3546.9";3542
"96.51";"3541.8";"3546.7"
"96.51";"3541.8";"3546.7"
"107.841";"3536.7";"3546.5"
"107.841";"3536.7";"3546.5"
"120.226";"3541.4";"3546.3"
"120.226";"3541.4";"3546.3"
"131.996";"3546.2";"3541.2"
"131.996";"3546.2";"3541.2"
"143.941";"3536.1";3536
"144.029";"3536.1";"3536.1"
"156.238";"3550.8";"3555.7"
"156.238";"3550.8";"3555.7"
"168.272";"3545.6";"3550.6"
"168.272";"3545.6";"3550.6"
"180.657";"3545.4";"3545.4"
"192.602";"3545.3";"3550.2"
"192.603";"3545.3";"3550.2"
"204.724";"3545.1";3550
"204.724";"3545.1";3550
"217.899";"3544.9";"3549.8"
"217.899";"3544.9";"3549.8"
"228.967";"3549.7";"3544.7"
"229.054";"3549.7";"3544.7"
"241.615";"3544.5";"3549.5"
"241.615";"3544.5";"3549.5"
"253.122";"3549.3";"3554.2"
"253.122";"3549.3";"3554.2"
"265.506";"3554.1";"3549.2"
"265.594";3554;"3549.1"
"277.364";3544;"3548.9"
"277.364";3544;"3548.9"
"288.168";"3553.7";"3558.6"
"288.344";"3553.9";"3558.7"
"299.763";"3558.5";"3558.5"
"299.85";"3558.5";"3558.5"
