x;n_NO;n_NO_0
"-0.0395";"3.8156";"3.8182"
"-0.01";"3.8144";"3.6148"
"0.1941";"3.8056";"3.1894"
"1.2251";"3.759";"2.5493"
"2.9063";"3.6628";"1.9929"
"4.0648";"3.5781";"1.729"
"4.6178";"3.5329";"1.6385"
"7.8353";"3.2319";"1.2346"
"10.0578";"2.9989";"1.056"
"11.2602";"2.8663";"0.9831"
"14.7445";"2.4715";"0.7926"
"16.139";"2.3168";"0.7247"
"17.9336";"2.127";"0.6554"
"22.1616";"1.7262";"0.5175"
"24.5485";"1.5297";"0.4496"
"28.2142";"1.2689";"0.3648"
"31.1931";"1.0934";"0.3125"
"34.1788";"0.9488";"0.2701"
"37.7789";"0.8101";"0.2286"
"40.2324";"0.7316";"0.2048"
"44.5421";"0.6164";"0.1715"
"46.2568";"0.5792";"0.1617"
"51.0395";"0.5023";"0.141"
"52.2814";"0.4878";"0.1359"
"57.7142";"0.4393";"0.1181"
"58.3062";"0.4344";"0.1172"
"64.2708";"0.3887";"0.1143"
"64.272";"0.3887";"0.1143"
"69.8232";"0.3735";"0.1029"
"69.8834";"0.3734";"0.1027"
