x;T1;Tv1
"0.029";"5592.6";"1029.1"
"0.29";"5592.1";"1166.6"
"2.832";"5587.6";"2229.7"
"7.832";"5580.9";"3495.6"
"8.532";"5580.7";"3636.4"
"12.483";5584;"4247.1"
"15.153";"5584.5";"4564.3"
"19.153";"5581.8";"4914.6"
"29.023";"5576.4";5348
"30.128";"5576.8";"5374.3"
"41.359";5588;"5510.5"
"43.914";"5588.5";"5522.5"
"55.229";"5583.9";"5548.3"
"57.876";"5583.4";5552
"67.287";"5583.7";"5566.5"
"74.824";"5582.4";"5576.4"
"93.353";"5579.4";"5583.3"
"93.353";"5579.4";"5583.3"
"119.211";"5582.9";"5582.9"
"119.281";"5582.9";"5582.9"
"145.487";"5586.5";"5582.5"
"145.487";"5586.5";"5582.5"
"171.414";"5593.9";"5582.2"
"171.414";"5593.9";"5582.2"
"197.411";"5585.7";"5589.6"
"197.481";"5585.7";"5589.6"
"223.408";"5582.1";"5589.2"
"223.498";"5582.1";"5589.2"
"249.497";"5581.7";"5588.8"
"249.614";"5581.7";"5588.8"
"275.608";"5593.7";"5596.3"
"275.681";"5593.8";"5596.3"
"299.284";"5599.6";"5611.6"
"299.377";"5599.6";"5611.6"
