x;n_NO;n_NO_0
"-0.003";"4.0854";"4.0827"
"0.112";"4.0865";"3.9632"
"0.68";"4.0907";"3.4695"
"1.88";"4.0838";"2.9706"
"3.494";"4.0675";"2.5942"
"4.856";"4.0516";"2.3803"
"10.298";"3.9748";"1.8433"
"15.647";"3.8732";"1.5633"
"16.946";"3.8428";"1.5234"
"27.97";"3.5";"1.2711"
"30.589";"3.4088";"1.2225"
"40.235";"3.0696";"1.0724"
"44.06";"2.9332";"1.0207"
"52.329";"2.6393";"0.9118"
"57.531";"2.46";"0.8493"
"64.652";"2.2318";"0.7764"
"70.888";"2.0551";"0.7198"
"76.918";"1.9004";"0.6665"
"84.303";"1.7231";"0.6017"
"89.184";"1.611";"0.5598"
"97.718";"1.426";"0.4951"
"101.337";"1.3558";"0.4734"
"111.133";"1.1931";"0.4227"
"113.661";"1.154";"0.409"
"124.662";"0.9908";"0.3466"
"125.871";"0.975";"0.3401"
"138.135";"0.8385";"0.2856"
"138.197";"0.8379";"0.2854"
"149.719";"0.7084";"0.2553"
"149.773";"0.7078";"0.2552"
