Time ms,Tvib mean K,Trot mean K,Time ms,Ttr cal isentropic K,Time ms,Pressure bar
-0.05579,923.62928,526.75925,0,2662.14381,-0.10001,0.02585
-0.05514,1288.2516,621.4264,1.00E-04,2675.76676,-0.09992,0.0055
-0.05449,767.83479,770.76471,2.00E-04,2675.68566,-0.09982,0.03263
-0.05384,467.97966,1133.31632,3.00E-04,2675.6047,-0.09973,0.03263
-0.05319,504.46901,1325.36815,4.00E-04,2675.5239,-0.09964,0.0055
-0.05254,533.46029,1349.25937,5.00E-04,2675.44323,-0.09955,0.01228
-0.05189,523.55484,1337.17929,6.00E-04,2675.36271,-0.09945,0.03263
-0.05124,531.21765,1343.37756,7.00E-04,2675.28233,-0.09936,0.02585
-0.05059,563.55804,1324.79439,8.00E-04,2675.20209,-0.09927,0.01228
-0.04994,575.91564,1323.76892,9.00E-04,2675.12199,-0.09917,0.01228
-0.04929,596.00682,1323.49714,0.001,2675.04203,-0.09908,0.02585
-0.04864,595.39644,1321.96995,0.0011,2674.9622,-0.09899,0.01906
-0.04799,607.27116,1321.6896,0.0012,2674.88251,-0.0989,0.04619
-0.04734,614.3953,1314.50805,0.0013,2674.80295,-0.0988,0.01906
-0.04669,623.35632,1322.39576,0.0014,2674.72353,-0.09871,0.0055
-0.04604,621.99663,1318.31468,0.0015,2674.64424,-0.09862,0.02585
-0.04539,635.0351,1327.50996,0.0016,2674.56509,-0.09852,0.02585
-0.04474,647.62324,1321.22465,0.0017,2674.48607,-0.09843,0.01906
-0.0441,651.93098,1331.73044,0.0018,2674.40718,-0.09834,0.02585
-0.04345,657.61161,1317.09305,0.0019,2674.32842,-0.09825,0.02585
-0.0428,657.84902,1325.74477,0.002,2674.24979,-0.09815,0.02585
-0.04215,662.95054,1324.21766,0.0021,2674.17129,-0.09806,0.04619
-0.0415,660.97485,1329.35447,0.0022,2674.09293,-0.09797,0.04619
-0.04085,672.04136,1323.65779,0.0023,2674.01469,-0.09788,0.01228
-0.0402,690.42379,1318.85677,0.0024,2673.93658,-0.09778,0.01228
-0.03955,683.64507,1323.26079,0.0025,2673.85861,-0.09769,0.03263
-0.0389,697.47383,1314.97334,0.0026,2673.78076,-0.0976,0.02585
-0.03825,694.0507,1319.6609,0.0027,2673.70304,-0.0975,0.01228
-0.0376,701.92103,1315.76948,0.0028,2673.62545,-0.09741,0.03941
-0.03695,709.15549,1324.47959,0.0029,2673.54799,-0.09732,-0.00128
-0.0363,707.96343,1312.44006,0.003,2673.47066,-0.09723,0.03941
-0.03565,717.67269,1312.11219,0.0031,2673.39345,-0.09713,0.01906
-0.035,710.13752,1323.26423,0.0032,2673.31637,-0.09704,0.02585
-0.03435,729.18084,1319.17027,0.0033,2673.23943,-0.09695,0.03263
-0.0337,743.04111,1315.15104,0.0034,2673.1626,-0.09685,0.01228
-0.03305,725.64851,1313.76296,0.0035,2673.08591,-0.09676,0.02585
-0.0324,739.02744,1313.75467,0.0036,2673.00934,-0.09667,0.02585
-0.03175,737.32442,1316.43915,0.0037,2672.9329,-0.09658,0.01906
-0.0311,744.44398,1316.41707,0.0038,2672.85658,-0.09648,0.03263
-0.03045,752.04285,1320.52349,0.0039,2672.78039,-0.09639,0.01906
-0.0298,750.95997,1310.30768,0.004,2672.70433,-0.0963,0.02585
-0.02915,753.11532,1315.12767,0.0041,2672.6284,-0.0962,0.01228
-0.0285,769.81087,1316.28653,0.0042,2672.55259,-0.09611,0.03263
-0.02786,752.35073,1315.24415,0.0043,2672.4769,-0.09602,0.02585
-0.02721,761.90309,1307.32809,0.0044,2672.40135,-0.09593,0.01906
-0.02656,770.82555,1314.48962,0.0045,2672.32591,-0.09583,0.01906
-0.02591,775.57653,1320.11056,0.0046,2672.25061,-0.09574,0.04619
-0.02526,774.1952,1311.44484,0.0047,2672.17543,-0.09565,0.02585
-0.02461,783.38749,1311.91884,0.0048,2672.10037,-0.09556,0.01228
-0.02396,778.6527,1314.95131,0.0049,2672.02544,-0.09546,0.01906
-0.02331,786.52556,1315.49772,0.005,2671.95063,-0.09537,0.01228
-0.02266,788.42356,1311.48456,0.0051,2671.87595,-0.09528,0.01906
-0.02201,792.63054,1316.34234,0.0052,2671.80139,-0.09518,0.01906
-0.02136,795.59413,1306.28708,0.0053,2671.72696,-0.09509,0.0055
-0.02071,793.54557,1305.48445,0.0054,2671.65265,-0.095,0.0055
-0.02006,793.90817,1307.75321,0.0055,2671.57847,-0.09491,0.01906
-0.01941,801.60196,1312.74689,0.0056,2671.50441,-0.09481,0.04619
-0.01876,797.23726,1315.62909,0.0057,2671.43048,-0.09472,0.01228
-0.01811,805.58145,1308.88723,0.0058,2671.35667,-0.09463,0.0055
-0.01746,812.46498,1304.96165,0.0059,2671.28298,-0.09453,0.03263
-0.01681,812.95749,1310.42239,0.006,2671.20942,-0.09444,0.0055
-0.01616,813.07205,1308.96639,0.0061,2671.13598,-0.09435,0.01906
-0.01551,810.99369,1306.79314,0.0062,2671.06267,-0.09426,0.02585
-0.01486,816.26067,1310.67797,0.0063,2670.98948,-0.09416,0.03263
-0.01421,815.85562,1318.3113,0.0064,2670.91641,-0.09407,0.01228
-0.01356,818.81935,1313.29523,0.0065,2670.84346,-0.09398,0.0055
-0.01291,819.31468,1320.66506,0.0066,2670.77064,-0.09388,0.0055
-0.01226,828.35912,1311.309,0.0067,2670.69795,-0.09379,0.01228
-0.01162,829.61896,1310.50649,0.0068,2670.62537,-0.0937,0.01228
