Time ms,Tvib mean K,Trot mean K,Time ms,Ttr cal isentropic K,Time ms,Pressure bar
-0.06084,1027.23914,459.84212,0,2340.73112,-0.01009,0.3893
-0.06019,854.57674,592.42921,1.00E-04,2352.96578,-0.00999,0.36217
-0.05954,879.05854,720.5252,2.00E-04,2352.94614,-0.0099,0.36895
-0.05889,989.73646,735.38573,3.00E-04,2352.92652,-0.00981,0.36895
-0.05824,591.15064,1008.21538,4.00E-04,2352.90693,-0.00972,0.37573
-0.05759,453.21408,1098.54105,5.00E-04,2352.88738,-0.00962,0.37573
-0.05694,469.5475,1203.70597,6.00E-04,2352.86785,-0.00953,0.36895
-0.05629,451.37068,1216.36536,7.00E-04,2352.84836,-0.00944,0.35539
-0.05564,449.55452,1210.55012,8.00E-04,2352.82889,-0.00934,0.3893
-0.05499,482.45826,1214.37191,9.00E-04,2352.80945,-0.00925,0.37573
-0.05434,498.58162,1203.73393,0.001,2352.79005,-0.00916,0.38252
-0.05369,449.38412,1207.91587,0.0011,2352.77067,-0.00907,0.37573
-0.05304,514.91867,1201.56283,0.0012,2352.75132,-0.00897,0.3893
-0.05239,525.05069,1207.50606,0.0013,2352.732,-0.00888,0.37573
-0.05174,495.57853,1209.53557,0.0014,2352.71271,-0.00879,0.37573
-0.05109,540.35572,1204.21971,0.0015,2352.69345,-0.00869,0.40286
-0.05044,532.60356,1196.22753,0.0016,2352.67421,-0.0086,0.40286
-0.04979,552.04684,1204.16776,0.0017,2352.65501,-0.00851,0.37573
-0.04914,558.90776,1200.19027,0.0018,2352.63583,-0.00842,0.3893
-0.04849,573.60383,1196.02586,0.0019,2352.61668,-0.00832,0.37573
-0.04784,542.15474,1204.80991,0.002,2352.59756,-0.00823,0.39608
-0.04719,579.53884,1207.77327,0.0021,2352.57847,-0.00814,0.3893
-0.04654,559.9855,1205.6083,0.0022,2352.55941,-0.00804,0.38252
-0.0459,580.23423,1213.66854,0.0023,2352.54038,-0.00795,0.38252
-0.04525,575.42392,1200.77425,0.0024,2352.52137,-0.00786,0.38252
-0.0446,564.06216,1205.73503,0.0025,2352.50239,-0.00777,0.40286
-0.04395,582.13555,1205.8421,0.0026,2352.48344,-0.00767,0.3893
-0.0433,592.13641,1213.42754,0.0027,2352.46452,-0.00758,0.38252
-0.04265,589.57047,1204.06298,0.0028,2352.44562,-0.00749,0.42321
-0.042,612.4402,1210.85736,0.0029,2352.42675,-0.0074,0.37573
-0.04135,601.59947,1211.40305,0.003,2352.40791,-0.0073,0.3893
-0.0407,604.36621,1200.26289,0.0031,2352.3891,-0.00721,0.39608
-0.04005,609.61927,1204.65903,0.0032,2352.37032,-0.00712,0.36895
-0.0394,633.97383,1204.90445,0.0033,2352.35156,-0.00702,0.38252
-0.03875,623.75073,1198.36612,0.0034,2352.33283,-0.00693,0.38252
-0.0381,609.31247,1199.81018,0.0035,2352.31413,-0.00684,0.37573
-0.03745,632.74206,1203.87432,0.0036,2352.29546,-0.00675,0.39608
-0.0368,616.03565,1202.42081,0.0037,2352.27681,-0.00665,0.3893
-0.03615,638.96363,1198.30115,0.0038,2352.25819,-0.00656,0.37573
-0.0355,617.57714,1197.00812,0.0039,2352.2396,-0.00647,0.37573
-0.03485,621.9842,1198.36288,0.004,2352.22103,-0.00637,0.36217
-0.0342,632.83103,1199.37735,0.0041,2352.20249,-0.00628,0.37573
-0.03355,637.42284,1197.55447,0.0042,2352.18398,-0.00619,0.39608
-0.0329,643.04686,1196.95225,0.0043,2352.1655,-0.0061,0.3893
-0.03225,651.53323,1199.14076,0.0044,2352.14704,-0.006,0.36895
-0.0316,662.37531,1191.31456,0.0045,2352.12861,-0.00591,0.38252
-0.03095,657.92175,1194.14427,0.0046,2352.1102,-0.00582,0.3893
-0.0303,652.9669,1200.75149,0.0047,2352.09183,-0.00572,0.37573
-0.02966,653.84704,1198.97939,0.0048,2352.07348,-0.00563,0.38252
-0.02901,662.42194,1202.73249,0.0049,2352.05515,-0.00554,0.3893
-0.02836,655.0987,1190.95921,0.005,2352.03686,-0.00545,0.36895
-0.02771,665.78255,1196.10434,0.0051,2352.01859,-0.00535,0.36217
-0.02706,677.43183,1201.10363,0.0052,2352.00035,-0.00526,0.3893
-0.02641,674.82063,1198.41519,0.0053,2351.98213,-0.00517,0.36895
-0.02576,680.21381,1195.43721,0.0054,2351.96394,-0.00508,0.39608
-0.02511,677.5282,1195.25645,0.0055,2351.94578,-0.00498,0.37573
-0.02446,675.15591,1200.0382,0.0056,2351.92764,-0.00489,0.36895
-0.02381,687.92055,1193.06635,0.0057,2351.90953,-0.0048,0.3893
-0.02316,673.93616,1196.25995,0.0058,2351.89144,-0.0047,0.37573
